img_id,label
slide_NQ79__img_6D1H,1
slide_ZBY6__img_ZUH2,0
slide_BRWL__img_1F90,0
slide_VZTU__img_O21K,0
slide_NQ79__img_1ETK,1
slide_2MWI__img_ANSH,1
slide_D5YR__img_2186,0
slide_GMQ0__img_SF1E,0
slide_6Y22__img_T897,1
slide_ZXHB__img_Q3EL,1
slide_2MWI__img_8FFY,1
slide_X6AE__img_55WS,1
slide_ZBY6__img_4KO8,0
slide_ZBY6__img_U0TE,1
slide_M88V__img_3MN5,0
slide_LA5V__img_E9VT,1
slide_DHJR__img_ZH88,0
slide_LPES__img_AOYP,0
slide_DG4X__img_KO45,0
slide_10MO__img_QJD5,0
slide_IB79__img_SUGH,1
slide_W6P8__img_O5KM,0
slide_Z010__img_KWJ7,1
slide_Z010__img_VWGH,1
slide_2MWI__img_HQ4Y,1
slide_N66V__img_D6G2,0
slide_IU3W__img_JSZL,0
slide_DHJR__img_TC17,1
slide_6Y22__img_AR5R,1
slide_ZXHB__img_TDH5,1
slide_2MWI__img_IAOY,1
slide_02PR__img_0U9O,0
slide_ZXHB__img_3VXH,1
slide_6Y22__img_KJBZ,1
slide_7KKP__img_YCF6,1
slide_H1SQ__img_Y762,0
slide_2MWI__img_I9DD,1
slide_2MWI__img_HJB7,1
slide_NQ79__img_ASJ6,1
slide_Z010__img_CYZ4,1
slide_A62G__img_W3DP,1
slide_YWOV__img_TT5R,1
slide_ZHW1__img_GLVK,1
slide_K6KB__img_03JR,0
slide_2MWI__img_N13D,1
slide_BRWL__img_7EIO,0
slide_7KKP__img_8FC0,1
slide_F3VX__img_6MKI,1
slide_27FY__img_WPNJ,0
slide_SYHI__img_ZC9V,0
slide_ZXHB__img_O56I,1
slide_8J8O__img_FQCX,0
slide_2MWI__img_IH6G,1
slide_Z010__img_L79K,1
slide_T33L__img_D27C,0
slide_2MWI__img_1VJP,1
slide_AQIY__img_B2Y8,0
slide_T33L__img_SW9G,0
slide_8U0M__img_HLLA,0
slide_8ANJ__img_WEEP,0
slide_4FLK__img_DMLA,0
slide_ZXHB__img_E8W0,1
slide_Z010__img_3S8V,1
slide_QT7H__img_NE6Q,1
slide_ZXHB__img_OQQB,1
slide_1TEM__img_O2FN,1
slide_2MWI__img_8Q5O,1
slide_DRAD__img_3CLT,1
slide_7KKP__img_I19S,1
slide_Z7EQ__img_7D9U,0
slide_VKDG__img_UPA4,0
slide_IU3W__img_EQU3,0
slide_PE8K__img_819Z,0
slide_XV1T__img_5H3U,1
slide_35XE__img_OY1U,0
slide_7KKP__img_OPF2,1
slide_7KKP__img_KSAI,1
slide_CLL0__img_E50D,0
slide_XV1T__img_WR1F,1
slide_F3VX__img_FRTQ,1
slide_Z61M__img_A9E2,0
slide_A62G__img_0XO8,1
slide_74FI__img_XEQ0,0
slide_IU3W__img_E69X,0
slide_02PR__img_NZQ5,0
slide_ROHD__img_A28E,0
slide_M9QC__img_VDVC,1
slide_KC75__img_RUM6,0
slide_8IXU__img_RF3R,1
slide_CMOM__img_144I,0
slide_Z010__img_5TMA,1
slide_7UDL__img_ONL5,0
slide_ZXHB__img_JJX8,1
slide_Z010__img_Z6RK,1
slide_2MWI__img_RDOE,1
slide_2MWI__img_9OLQ,1
slide_IU3W__img_O84A,0
slide_TP9H__img_YXSP,1
slide_KUAV__img_MPPY,0
slide_2MWI__img_XKUD,1
slide_6Y22__img_1Y2L,1
slide_NJFH__img_OQ3R,1
slide_HHXD__img_JQWV,0
slide_7KKP__img_379T,1
slide_H97C__img_TQSW,0
slide_QT7H__img_CFOS,0
slide_Z010__img_JXQM,1
slide_698R__img_RTIH,0
slide_XV1T__img_USM5,1
slide_C4LR__img_E0ZY,1
slide_4RQS__img_WN4Q,0
slide_EULU__img_2ZQ4,0
slide_2MWI__img_1WRB,1
slide_2MWI__img_SY0X,1
slide_F3VX__img_I6DE,0
slide_SCTC__img_6L7F,0
slide_CSM8__img_IXUG,1
slide_2C5U__img_FWGN,1
slide_A62G__img_T83G,1
slide_TSIF__img_MNBF,1
slide_JIUA__img_GRPJ,1
slide_DG4X__img_3ZT9,0
slide_7KKP__img_6XFS,1
slide_XV1T__img_BAB9,1
slide_LPES__img_Z3F2,1
slide_7KKP__img_VDXX,1
slide_2MWI__img_LDTU,1
slide_X6AE__img_ABNS,1
slide_YWOV__img_HPWO,1
slide_LKXY__img_D7LM,0
slide_7KKP__img_GIVP,1
slide_YWOV__img_5TKR,1
slide_2MWI__img_AQ6T,1
slide_IB79__img_NTK1,1
slide_N66V__img_1LFA,0
slide_AQIY__img_UOJ0,0
slide_AQ2X__img_I1DU,0
slide_2DYN__img_39CS,0
slide_TSIF__img_PVSH,1
slide_8IXU__img_K6TS,1
slide_B8B9__img_S25Z,0
slide_8IXU__img_6NPG,1
slide_ZXHB__img_MR64,1
slide_IB79__img_DW7Y,1
slide_2VCG__img_US9I,0
slide_K6KB__img_BYML,0
slide_2MWI__img_UPOP,1
slide_SCTC__img_I1Y6,0
slide_698R__img_RLL2,1
slide_UV7W__img_VDY7,0
slide_ZBY6__img_AQU9,1
slide_8IXU__img_2T6G,1
slide_7UDL__img_QTTS,1
slide_T0PI__img_QXT0,0
slide_2C5U__img_NJHC,1
slide_NQ79__img_AERY,1
slide_X6AE__img_UMM0,1
slide_Z010__img_X4DJ,1
slide_06B9__img_B4QB,1
slide_MFV6__img_RJRD,0
slide_53U1__img_HYQK,0
slide_NG4W__img_3Z8W,0
slide_NQ79__img_0A30,1
slide_NQ79__img_DWVA,1
slide_OZ04__img_19UE,1
slide_LPES__img_3NVG,1
slide_2MWI__img_8LPQ,1
slide_NQ79__img_UR36,1
slide_NQ79__img_VZPA,1
slide_ZXHB__img_H2CF,1
slide_2MWI__img_LXWQ,1
slide_2MWI__img_FVEQ,1
slide_ZBY6__img_RU75,1
slide_2MWI__img_D1BX,1
slide_6Y22__img_LJLR,1
slide_XV1T__img_5J30,1
slide_ETL5__img_CZ1E,0
slide_HHXD__img_WBPA,0
slide_F3VX__img_RK8W,1
slide_74FI__img_WTY4,0
slide_M9QC__img_I2TU,0
slide_ZXHB__img_H4N6,0
slide_2MWI__img_RP1W,1
slide_IDDK__img_T0JB,0
slide_TSIF__img_4LLA,1
slide_LPES__img_NJJL,0
slide_2MWI__img_OEC3,1
slide_INRP__img_J6ZG,0
slide_06B9__img_1MZU,0
slide_ZHW1__img_OA5D,1
slide_IOUF__img_7WKK,1
slide_0XV6__img_22LW,0
slide_WOY6__img_6FBN,0
slide_C2R2__img_19FL,1
slide_C2R2__img_2T20,1
slide_06B9__img_FVIL,1
slide_ZXHB__img_FQJ7,1
slide_BRWL__img_UMZ9,0
slide_IB79__img_ZQYK,1
slide_SRGG__img_TJW9,0
slide_XV1T__img_0DUN,1
slide_TSIF__img_27TC,1
slide_VZTU__img_5KGE,0
slide_1I8K__img_1GBS,1
slide_NQ79__img_52WZ,1
slide_Z010__img_TQWH,1
slide_3LTX__img_N35R,0
slide_M9QC__img_OMD0,0
slide_7KKP__img_C07Q,1
slide_H1SQ__img_Z26R,1
slide_IU3W__img_8XED,0
slide_2MWI__img_Z0N5,1
slide_SCTC__img_ZR39,0
slide_7UDL__img_KOUK,1
slide_ZBY6__img_4NRW,1
slide_XV1T__img_DB5Q,1
slide_A62G__img_S74Q,1
slide_SB34__img_G70W,0
slide_2C5U__img_NCSK,1
slide_1TEM__img_23MM,1
slide_02PR__img_U8ZC,0
slide_1TEM__img_XDAO,1
slide_TSIF__img_QVWS,1
slide_TP9H__img_J031,1
slide_X6AE__img_INU1,1
slide_8N1M__img_3OW4,0
slide_QSTG__img_PQ2Y,0
slide_Z010__img_BYAR,1
slide_IB79__img_G332,1
slide_96XT__img_LIKK,0
slide_M9QC__img_G8F3,1
slide_SRGG__img_GBCR,0
slide_2MWI__img_B6YR,1
slide_K6KB__img_60O3,0
slide_H1SQ__img_2K7G,0
slide_ZBY6__img_U58R,1
slide_2MWI__img_4XF2,1
slide_6Y22__img_R8K4,0
slide_RR0O__img_ASL7,0
slide_UB78__img_CJ63,0
slide_G7DO__img_DMNU,1
slide_ZHW1__img_ICOE,1
slide_INRP__img_ZHPG,0
slide_A62G__img_8PVR,1
slide_QT7H__img_TCUF,1
slide_73K5__img_KR87,0
slide_7KKP__img_OYZ2,1
slide_IU3W__img_UXEI,0
slide_M9QC__img_LECM,0
slide_ZXHB__img_CNKI,1
slide_NQ79__img_3R9J,1
slide_7KKP__img_VPNU,1
slide_XV1T__img_3VN7,1
slide_73K5__img_H9PU,0
slide_4FLK__img_TA54,0
slide_SJ75__img_KZ3V,0
slide_QT7H__img_ST5F,1
slide_NQ79__img_RLN6,1
slide_CSM8__img_H69M,1
slide_C2R2__img_361V,1
slide_LKXY__img_6OUU,0
slide_CMOM__img_TRDV,1
slide_4FLK__img_XQ8W,0
slide_T33L__img_1ZKR,0
slide_WOY6__img_PWDT,0
slide_K4JX__img_YQEU,0
slide_7KKP__img_B478,1
slide_JIUA__img_XHRG,1
slide_5FAU__img_Z8W7,0
slide_2MWI__img_WI33,1
slide_ZBY6__img_GMDV,0
slide_5FAU__img_VEIV,0
slide_NQ79__img_SQ31,1
slide_2OW3__img_CCIN,0
slide_WOY6__img_JQ2L,1
slide_Z010__img_B36D,1
slide_XV1T__img_WR0S,1
slide_ZXHB__img_NVXU,1
slide_6Y22__img_D68Y,1
slide_XV1T__img_43KW,1
slide_7KKP__img_46LS,1
slide_QPXR__img_XH0S,0
slide_DRAD__img_5F2G,0
slide_X6AE__img_IU50,1
slide_IOUF__img_OVOM,1
slide_2MWI__img_WE20,1
slide_NQ79__img_BNLM,1
slide_JYEQ__img_V1GI,0
slide_7UDL__img_H6G2,0
slide_2MWI__img_D8JD,1
slide_1I8K__img_156U,1
slide_2MWI__img_RRLS,1
slide_DHJR__img_CF6A,0
slide_Z010__img_SSX0,1
slide_7KKP__img_I8M1,1
slide_IB79__img_NIG2,1
slide_6C67__img_RI08,0
slide_ZXHB__img_OU6F,1
slide_TSIF__img_H6QP,1
slide_IB79__img_12MI,1
slide_CSM8__img_PWRP,1
slide_NJFH__img_DX29,1
slide_ZHW1__img_0V6B,0
slide_IPEF__img_TV7I,0
slide_NQ79__img_G8C7,1
slide_YWOV__img_6SI9,0
slide_RPRV__img_1O4F,0
slide_ZHW1__img_U4T6,1
slide_P2CL__img_2H4B,0
slide_AQ2X__img_D229,0
slide_X6AE__img_RDSE,1
slide_8U0M__img_9RPX,0
slide_YWOV__img_T0H2,1
slide_UV7W__img_21KZ,0
slide_1J0W__img_C345,0
slide_TSIF__img_NIL3,1
slide_7KKP__img_X2O5,1
slide_4FLK__img_QR1Q,0
slide_JYEQ__img_6BAD,1
slide_4BWN__img_9WHB,0
slide_ZXHB__img_V4C5,1
slide_XV1T__img_EQLU,1
slide_C4LR__img_UB77,1
slide_2MWI__img_55LQ,1
slide_ZXHB__img_KCV1,1
slide_YWOV__img_33CP,1
slide_Z010__img_63TR,1
slide_C2R2__img_80HN,1
slide_X6AE__img_ZVM6,1
slide_H97C__img_POND,0
slide_2MWI__img_QKCR,1
slide_IB79__img_GWE8,1
slide_JOY8__img_ME1F,0
slide_UV7W__img_3WOQ,0
slide_7KKP__img_FSHM,1
slide_HTOP__img_ZMWL,0
slide_NQ79__img_KXOC,1
slide_XV1T__img_TCKR,1
slide_PA73__img_Q467,0
slide_G7DO__img_HEHX,1
slide_RPRV__img_65YM,0
slide_NQ79__img_4VU2,1
slide_J78H__img_JHIV,0
slide_H97C__img_6IHY,0
slide_2MWI__img_3DZH,1
slide_TSIF__img_PW89,1
slide_HZYX__img_ZFWJ,0
slide_ZHW1__img_RRCX,1
slide_X6AE__img_RSQQ,0
slide_DHJR__img_8ER0,0
slide_06B9__img_4NTE,0
slide_LPES__img_MIJP,1
slide_2DYN__img_R0XG,0
slide_ETL5__img_TODL,0
slide_2MWI__img_YEWZ,1
slide_QSTG__img_3866,0
slide_2MWI__img_OIM9,1
slide_TSIF__img_LQZ7,1
slide_TSIF__img_U62P,0
slide_WOY6__img_3IGY,0
slide_LPES__img_2QK8,1
slide_BNIS__img_S6L7,0
slide_Z010__img_8RDT,1
slide_2MWI__img_LTSK,1
slide_KU9R__img_J7L6,0
slide_7KKP__img_40WC,1
slide_G7DO__img_21B5,1
slide_06B9__img_SUXA,1
slide_IU3W__img_2HMV,0
slide_TP9H__img_2XNE,1
slide_33L9__img_5YEC,0
slide_8IXU__img_OW6V,0
slide_ZHW1__img_X1C6,1
slide_1J0W__img_XXUU,0
slide_IOUF__img_B5Z9,1
slide_0SRG__img_CVXX,0
slide_Z7EQ__img_88HI,0
slide_1J0W__img_PLWT,0
slide_TSIF__img_WRA2,1
slide_GMQ0__img_UKH3,0
slide_2MWI__img_02PE,1
slide_8IXU__img_Q829,1
slide_A62G__img_KSJQ,1
slide_6Y22__img_KXYE,1
slide_2MWI__img_0J21,1
slide_8IXU__img_X0CO,1
slide_0LUI__img_PE3C,0
slide_LA5V__img_OP1K,1
slide_7KKP__img_ZE9A,1
slide_7KKP__img_9XDP,1
slide_06B9__img_KJPG,1
slide_V7BI__img_R9YL,0
slide_UB78__img_1C0Z,1
slide_H97C__img_CW4K,0
slide_06B9__img_FM7O,1
slide_8IXU__img_EZ8T,1
slide_7KKP__img_H73G,1
slide_2MWI__img_F7SP,1
slide_7KKP__img_U8VN,1
slide_WOY6__img_764A,0
slide_IU3W__img_EXJU,0
slide_H11A__img_YFV6,0
slide_CMOM__img_J4H9,1
slide_2MWI__img_J9HU,1
slide_NQ79__img_VE8K,1
slide_2C5U__img_3MDE,1
slide_NYN4__img_KP30,0
slide_IDDK__img_X7H4,0
slide_X6AE__img_19HM,1
slide_G7DO__img_0QG3,1
slide_NQ79__img_G00T,1
slide_LA5V__img_BD6T,1
slide_4RQS__img_GH78,0
slide_Z010__img_2OAV,1
slide_8EWJ__img_50LG,0
slide_M9QC__img_UGZ2,0
slide_A62G__img_447A,1
slide_BJOD__img_ST5L,0
slide_8IXU__img_4B2Q,1
slide_TSIF__img_SPL7,1
slide_A62G__img_XFLV,1
slide_A62G__img_FSPN,1
slide_FW7V__img_FY3D,0
slide_KUAV__img_DLHY,0
slide_IU3W__img_9R89,0
slide_SCTC__img_T1NE,0
slide_7KKP__img_XV1K,1
slide_6Y22__img_LVXH,1
slide_XV1T__img_AP2T,1
slide_2OW3__img_F7S9,0
slide_2OW3__img_TX7Q,0
slide_XV1T__img_FB18,1
slide_6Y22__img_R10B,1
slide_TP9H__img_DA5P,1
slide_6Y22__img_WGEU,1
slide_06B9__img_821K,1
slide_XWTK__img_PPC8,0
slide_7KKP__img_W7C6,1
slide_IU3W__img_H2TS,0
slide_1BNK__img_45EK,0
slide_5D9Q__img_79Q4,0
slide_ZXHB__img_YAJK,1
slide_GEX3__img_KI0P,0
slide_2MWI__img_3958,1
slide_GGWC__img_6R18,0
slide_7UDL__img_DN38,1
slide_6Y22__img_HZS8,1
slide_2C5U__img_960S,1
slide_C4LR__img_83U3,0
slide_6C67__img_F3WC,0
slide_A62G__img_1N3O,1
slide_TSIF__img_BID1,1
slide_8IXU__img_8PS3,1
slide_X6AE__img_PJQU,1
slide_698R__img_EGTM,1
slide_2MWI__img_DQNC,1
slide_7KKP__img_ZRHM,1
slide_4RQS__img_FEL0,0
slide_XV1T__img_I4SX,1
slide_TSIF__img_X892,1
slide_ZXHB__img_7KR8,1
slide_FD5S__img_O62Z,0
slide_2MWI__img_VD5A,1
